"Seccion","Modulo","Submodulo","Tipo","Descripcion","Funcionamiento","Relaciones","Reglas_Logicas","Archivos_Relacionados","Tablas_Base_Datos","Providers_Servicios","Endpoints_Backend","Flujo_Proceso","Riesgos_Consideraciones","Estado_Actual","Notas_Tecnicas"
"Resumen ejecutivo","Fiado App","Vision general","Funcional","Fiado App es una aplicacion Flutter para pequenos negocios que controla clientes, fiados, pagos, inventario, colaboradores, auditorias, comprobantes, campanas WhatsApp y sincronizacion cloud.","Opera offline-first: guarda primero en SQLite y sincroniza luego con backend ASP.NET Core cuando existe sesion cloud y conexion.","Clientes se enlazan con movimientos, deuda_items, comprobantes, ciclos y scores; productos se enlazan con inventario, imagenes, auditorias, deuda_items y campanas.","Personal ve deudas propias; Negocio administra operacion y suscripcion; Colaborador opera bajo negocio_id con permisos limitados.","ARCHITECTURE.md; README.md; lib/main.dart; lib/screens/principal_screen.dart; lib/screens/personal_portal_screen.dart; lib/screens/colaborador_dashboard_screen.dart","usuarios; clientes; movimientos; productos; subscriptions; sync_queue; sync_outbox","auth_providers.dart; fiado_data_providers.dart; sync_providers.dart","/api/auth/*; /api/clients; /api/products; /api/movements; /api/sync/{module}","Login/registro -> dashboard por rol -> escritura local -> cola sync -> backend -> pull -> UI actualizada.","Divergencia entre dispositivo y cloud si se rompe el patron offline-first o el aislamiento por negocio_id.","Implementado y en evolucion cloud progresiva.","Fila orientada a persona no tecnica."
"Resumen tecnico","Arquitectura","Capas","Tecnico","Arquitectura por capas con UI Flutter, Riverpod, repositorios SQLite, servicios de sync y backend REST ASP.NET Core con EF Core/SQL Server.","Pantallas consumen providers; providers llaman repositorios y servicios; repositorios escriben SQLite y encolan cambios; servicios cloud hacen push/pull.","lib/core centraliza infraestructura; lib/data contiene modelos, repositorios y servicios; lib/screens y lib/presentation contienen UI y providers; backend contiene controllers, services, DTOs y DbContext.","No hacer HTTP desde repositorios locales; no saltarse SQLite como fuente local principal.","ARCHITECTURE.md; API_CONTRACTS.md; lib/core/database/database_schema.dart; lib/core/database/database_helper.dart; backend/src/FiadoApp.Api/Program.cs; backend/src/FiadoApp.Api/Data/FiadoDbContext.cs","Todas las tablas de DatabaseSchema.version 29; entidades DbSet de FiadoDbContext","DatabaseHelper; ApiClient; SyncEngine; AutoSyncService; Cloud*SyncService","Controllers bajo backend/src/FiadoApp.Api/Controllers","UI -> Provider -> Repository -> SQLite -> sync_queue/sync_outbox -> Cloud service -> API -> SQL Server.","Riesgo alto si se cambian contratos JSON, tablas o filtros por negocio_id sin pruebas.","Documentado con base en codigo actual.","La app combina codigo legacy y sync v2."
"Mapa general del sistema","Flujo de datos","Escritura local","Arquitectura","Explica el viaje de datos desde pantalla hasta SQLite.","Una pantalla llama a un provider/notifier; este delega en un repositorio; el repositorio valida, ejecuta transaccion SQLite y registra cola si la entidad sincroniza.","Cada entidad conserva negocio_id/business_id; remote_id une SQLite con SQL Server; local_uuid/uuid ayudan a idempotencia.","Las escrituras compuestas como deuda con productos deben ser transaccionales.","lib/presentation/providers/fiado_data_providers.dart; lib/data/repositories/*; lib/core/database/database_helper.dart","clientes; movimientos; deuda_items; productos; comprobantes; credito_ciclos; sync_queue; sync_outbox","DatabaseHelper; SyncQueueRepository; SyncOutboxRepository","No aplica en escritura local directa","Formulario -> provider -> repository -> transaction SQLite -> cola -> invalidacion de provider.","Una transaccion parcial puede dejar stock, deuda o comprobante inconsistente.","Patron activo.","Deducido de ARCHITECTURE.md y repositorios."
"Mapa general del sistema","Flujo de datos","Sincronizacion cloud","Arquitectura","Explica como los datos salen al backend y vuelven al dispositivo.","AutoSyncService coordina pasos por modulo; Cloud*SyncService lee pendientes, envia push, actualiza remote_id/sync_status y hace pull incremental.","sync_queue registra cambios legacy; sync_outbox agrupa por business_id, module, entity_uuid y operation; sync_state guarda ultimos pull/push.","El backend obtiene businessId desde JWT; no debe confiar en businessId enviado por request publico.","lib/data/services/auto_sync_service.dart; lib/data/services/cloud_client_sync_service.dart; lib/data/services/cloud_product_sync_service.dart; lib/data/services/cloud_movement_sync_service.dart; lib/data/services/sync_engine.dart","sync_queue; sync_outbox; sync_state; tablas sincronizadas por modulo","AutoSyncService; SyncEngine; CloudClientSyncService; CloudProductSyncService; CloudMovementSyncService; CloudReceiptSyncService; CloudCreditCycleSyncService; CloudAuditSyncService","/api/clients/sync/*; /api/products/sync/*; /api/movements/sync/*; /api/receipts/sync/*; /api/credit-cycles/sync/*; /api/audits/sync/*; /api/authorization-requests/sync/*","Pendiente local -> push -> serverId -> update SQLite -> pull -> merge local -> sync_state actualizado.","Duplicados si falla remote_id/local_uuid o filtros por negocio_id; errores persistentes si sync_queue queda failed.","Sync inicial implementada en multiples modulos; sync v2 existe como base generica.","Imagenes de inventario tienen ruta dedicada de metadata/contenido."
"Contexto general","Objetivo del sistema","Negocio","Funcional","Ayudar a negocios pequenos a controlar credito informal, inventario y cobros desde una app local con respaldo cloud progresivo.","El negocio registra clientes, crea deudas, recibe pagos, genera comprobantes, consulta cartera, maneja inventario y controla colaboradores.","negocio_id es el eje de aislamiento para clientes, productos, movimientos, auditorias, solicitudes y campanas.","Negocio requiere plan/trial; Personal no administra inventario; Colaborador depende de un negocio.","ARCHITECTURE.md; lib/screens/principal_screen.dart; lib/widgets/app_navigation_drawer.dart","usuarios; subscriptions; clientes; movimientos; productos","currentUserProvider; currentBusinessIdProvider; subscriptionRepositoryProvider","/api/auth/register/business; /api/subscriptions/status","Registro negocio -> trial/suscripcion -> dashboard -> operacion offline -> sync.","Mezclar negocio_id expone datos o duplica registros.","Implementado.","La documentacion del repo describe migracion progresiva hacia backend."
"Roles y permisos","Personal","Portal Personal","Funcional","Usuario consumidor que consulta deudas y recordatorios asociados a su telefono autenticado.","PersonalPortalScreen y personal_debt_guidance calculan saldos por negocio, vencimientos e historial propio.","Se relaciona con movimientos por personal_user_id o telefono y con comprobantes/recordatorios propios.","No paga suscripcion; no accede a productos, auditorias, colaboradores ni reportes internos.","lib/screens/personal_portal_screen.dart; lib/personal_debt_guidance/*; ARCHITECTURE.md","usuarios; movimientos; comprobantes; credito_ciclos; credito_recordatorios","AuthRepository; PersonalDebtGuidanceService","/api/auth/register/personal; /api/auth/login; /api/auth/me","Login personal -> dashboard personal -> consulta deudas propias -> historial.","Privacidad si filtros por telefono incluyen datos de terceros.","Implementado localmente.","No envia push ni WhatsApp automatico."
"Roles y permisos","Negocio","Administrador","Funcional","Usuario dueno o administrador con acceso completo a operacion, colaboradores, suscripcion, inventario y reportes.","PrincipalScreen muestra KPIs y accesos a clientes, deudas, pagos, productos, auditorias, solicitudes, comprobantes y campanas.","Es duenio de negocio_id; sus datos se propagan a clientes, movimientos, productos, imagenes, auditorias y colaboradores.","Debe tener suscripcion activa o trial valido; aprueba/rechaza solicitudes; respeta limites del plan.","lib/screens/principal_screen.dart; lib/screens/subscription_screen.dart; lib/screens/gestionar_colaboradores_screen.dart","usuarios; subscriptions; clientes; productos; solicitudes_autorizacion","SubscriptionRepository; AuthRepository; SolicitudAutorizacionRepository","/api/auth/register/business; /api/subscriptions/*; /api/authorization-requests/*","Registro/login -> validar acceso -> dashboard -> operaciones -> sync.","Bloqueo operativo si estado de suscripcion local/cloud diverge.","Implementado.","BusinessId en backend sale del JWT."
"Roles y permisos","Colaborador","Operador","Funcional","Usuario asociado a un negocio que ejecuta tareas operativas con permisos restringidos.","ColaboradorDashboardScreen muestra auditorias, solicitudes e inventario; puede agregar inventario y hacer auditorias.","usuarios.negocio_id apunta al negocio; auditorias.colaborador_id y solicitudes_autorizacion.colaborador_id registran autoria.","No paga; no edita/elimina datos sensibles sin aprobacion; costo, margen o precio de productos existentes requieren solicitud.","lib/screens/colaborador_dashboard_screen.dart; lib/screens/mis_solicitudes_screen.dart; lib/data/repositories/solicitud_autorizacion_repository.dart","usuarios; solicitudes_autorizacion; auditorias; auditoria_items; productos","auth_providers.dart; solicitudAutorizacionRepositoryProvider","/api/auth/register/collaborator; /api/authorization-requests/*; /api/audits/my","Negocio crea colaborador -> colaborador login -> opera -> crea solicitud si necesita cambio sensible.","Permisos indebidos si UI o repositorio no valida rol/negocio_id.","Implementado.","Conviene centralizar permisos en futuras mejoras."
"Autenticacion","Login y registro","Sesion local/cloud","Funcional/Tecnico","Gestiona usuarios Personal, Negocio y Colaborador, sesiones locales y tokens cloud.","AuthRepository maneja usuarios/sesiones SQLite; CloudAuthService registra/login contra backend y guarda JWT, businessId y sessionVersion.","usuarios se relaciona con sesiones; negocio usa usuarios.id como negocio local; colaborador referencia negocio_id; backend Users/Businesses generan JWT.","Telefono unico local; JWT requerido para endpoints protegidos; session timeout cierra por inactividad.","lib/data/repositories/auth_repository.dart; lib/data/services/cloud_auth_service.dart; lib/screens/login_screen.dart; lib/screens/register_screen.dart; lib/core/session/*","usuarios; sesiones; subscriptions; Users; Businesses","auth_providers.dart; AuthRepository; CloudAuthService; SessionTimeoutService","/api/auth/register/personal; /api/auth/register/business; /api/auth/register/collaborator; /api/auth/login; /api/auth/me; /api/auth/link-local-user","Registro/login -> sesion local -> JWT si cloud -> providers cargan rol -> dashboard.","Sesion cloud expirada/reemplazada; token guardado fuera de secure storage.","Implementado.","ARCHITECTURE.md documenta hardening de token manual."
"Autenticacion","Sesion cloud","Dispositivo unico","Seguridad","Backend valida una sesion activa por usuario con ActiveDeviceId y SessionVersion.","Program.cs llama AuthService.ValidateActiveSessionAsync; si detecta SESSION_REPLACED responde 401 con codigo especifico.","La app guarda fiado_cloud_session_version y businessId; SyncEngine diagnostica token, businessId y sessionVersion.","Inicio en segundo dispositivo puede invalidar sesion anterior si aplica.","backend/src/FiadoApp.Api/Program.cs; backend/src/FiadoApp.Api/Services/AuthService.cs; lib/data/services/cloud_auth_service.dart; test/session_replaced_status_test.dart","Users backend; sesiones local","CloudAuthService; ApiClient; SyncDiagnosticsRepository","/api/auth/login; endpoints protegidos","Login segundo dispositivo -> backend actualiza sessionVersion/device -> anterior recibe SESSION_REPLACED.","Falsa invalidacion si columnas StagingLocal faltan o token viejo queda activo.","Implementado.","Program.cs verifica columnas requeridas en StagingLocal."
